04050 2600   0.0681
04050 2800   0.0756
04050 3000   0.0821
04050 3200   0.0919
04050 3400   0.0930
04050 3600   0.0856
04050 3800   0.0911
04050 4000   0.0821
04050 4200   0.0758
04050 4400   0.0709
04050 4600   0.0688
04050 4800   0.0705
04050 5000   0.0683
04050 5200   0.0682
04050 5400   0.0702
04050 5600   0.0730
04050 5800   0.0780
04050 6000   0.0836
04050 6200   0.0899
04050 6400   0.0979
04050 6600   0.1058
04050 6800   0.1152
04050 7000   0.1150
04050 7200   0.1315
04050 7400   0.1398
04050 7600   0.1538
04150 2600   0.0783
04150 2800   0.0829
04150 3000   0.0848
04150 3200   0.0916
04150 3400   0.0873
04150 3600   0.0821
04150 3800   0.0739
04150 4000   0.0655
04150 4200   0.0556
04150 4400   0.0531
04150 4600   0.0607
04150 4800   0.0683
04150 5000   0.0708
04150 5200   0.0734
04150 5400   0.0771
04150 5600   0.0813
04150 5800   0.0860
04150 6000   0.0922
04150 6200   0.1004
04150 6400   0.1072
04150 6600   0.1152
04150 6800   0.1236
04150 7000   0.1234
04150 7200   0.1357
04150 7400   0.1417
04150 7600   0.1560
04250 2600   0.1232
04250 2800   0.1175
04250 3000   0.1236
04250 3200   0.1413
04250 3400   0.1387
04250 3600   0.1302
04250 3800   0.1186
04250 4000   0.1059
04250 4200   0.0887
04250 4400   0.0782
04250 4600   0.0746
04250 4800   0.0712
04250 5000   0.0690
04250 5200   0.0669
04250 5400   0.0684
04250 5600   0.0723
04250 5800   0.0791
04250 6000   0.0866
04250 6200   0.0986
04250 6400   0.1110
04250 6600   0.1216
04250 6800   0.1324
04250 7000   0.1260
04250 7200   0.1361
04250 7400   0.1409
04250 7600   0.1509
04350 2600   0.0487
04350 2800   0.0597
04350 3000   0.0769
04350 3200   0.0930
04350 3400   0.1062
04350 3600   0.1106
04350 3800   0.1109
04350 4000   0.0999
04350 4200   0.0923
04350 4400   0.0842
04350 4600   0.0831
04350 4800   0.0818
04350 5000   0.0771
04350 5200   0.0776
04350 5400   0.0818
04350 5600   0.0865
04350 5800   0.0929
04350 6000   0.1028
04350 6200   0.1118
04350 6400   0.1229
04350 6600   0.1361
04350 6800   0.1462
04350 7000   0.1472
04350 7200   0.1621
04350 7400   0.1704
04350 7600   0.1850
04450 2600   0.0318
04450 2800   0.0442
04450 3000   0.0611
04450 3200   0.0811
04450 3400   0.0972
04450 3600   0.1026
04450 3800   0.1022
04450 4000   0.0966
04450 4200   0.0895
04450 4400   0.0795
04450 4600   0.0803
04450 4800   0.0819
04450 5000   0.0824
04450 5200   0.0855
04450 5400   0.0911
04450 5600   0.0952
04450 5800   0.1035
04450 6000   0.1103
04450 6200   0.1162
04450 6400   0.1268
04450 6600   0.1353
04450 6800   0.1449
04450 7000   0.1411
04450 7200   0.1596
04450 7400   0.1672
04450 7600   0.1847
04550 2600   0.0283
04550 2800   0.0397
04550 3000   0.0563
04550 3200   0.0754
04550 3400   0.0977
04550 3600   0.1193
04550 3800   0.1303
04550 4000   0.1282
04550 4200   0.1179
04550 4400   0.1127
04550 4600   0.1117
04550 4800   0.1080
04550 5000   0.1076
04550 5200   0.1060
04550 5400   0.1130
04550 5600   0.1169
04550 5800   0.1275
04550 6000   0.1363
04550 6200   0.1439
04550 6400   0.1565
04550 6600   0.1656
04550 6800   0.1759
04550 7000   0.1781
04550 7200   0.1945
04550 7400   0.2028
04550 7600   0.2227
04650 2600   0.0203
04650 2800   0.0280
04650 3000   0.0400
04650 3200   0.0559
04650 3400   0.0725
04650 3600   0.0954
04650 3800   0.1181
04650 4000   0.1164
04650 4200   0.1123
04650 4400   0.1082
04650 4600   0.1108
04650 4800   0.1090
04650 5000   0.1107
04650 5200   0.1135
04650 5400   0.1202
04650 5600   0.1298
04650 5800   0.1419
04650 6000   0.1548
04650 6200   0.1717
04650 6400   0.1918
04650 6600   0.2103
04650 6800   0.2329
04650 7000   0.2478
04650 7200   0.2906
04650 7400   0.3118
04650 7600   0.3571
04750 2600   0.0210
04750 2800   0.0286
04750 3000   0.0386
04750 3200   0.0540
04750 3400   0.0689
04750 3600   0.0856
04750 3800   0.1043
04750 4000   0.1078
04750 4200   0.1043
04750 4400   0.1073
04750 4600   0.1188
04750 4800   0.1282
04750 5000   0.1317
04750 5200   0.1380
04750 5400   0.1477
04750 5600   0.1568
04750 5800   0.1691
04750 6000   0.1847
04750 6200   0.2006
04750 6400   0.2226
04750 6600   0.2417
04750 6800   0.2717
04750 7000   0.2830
04750 7200   0.3299
04750 7400   0.3582
04750 7600   0.4202
04850 2600   0.0212
04850 2800   0.0286
04850 3000   0.0386
04850 3200   0.0556
04850 3400   0.0675
04850 3600   0.0803
04850 3800   0.0974
04850 4000   0.0989
04850 4200   0.0966
04850 4400   0.1017
04850 4600   0.1196
04850 4800   0.1310
04850 5000   0.1363
04850 5200   0.1451
04850 5400   0.1529
04850 5600   0.1646
04850 5800   0.1801
04850 6000   0.1954
04850 6200   0.2140
04850 6400   0.2374
04850 6600   0.2621
04850 6800   0.2875
04850 7000   0.2959
04850 7200   0.3356
04850 7400   0.3639
04850 7600   0.3982
04950 2600   0.0242
04950 2800   0.0302
04950 3000   0.0396
04950 3200   0.0568
04950 3400   0.0691
04950 3600   0.0846
04950 3800   0.1067
04950 4000   0.1163
04950 4200   0.1187
04950 4400   0.1161
04950 4600   0.1281
04950 4800   0.1375
04950 5000   0.1431
04950 5200   0.1460
04950 5400   0.1505
04950 5600   0.1526
04950 5800   0.1641
04950 6000   0.1718
04950 6200   0.1836
04950 6400   0.1971
04950 6600   0.2114
04950 6800   0.2299
04950 7000   0.2268
04950 7200   0.2565
04950 7400   0.2766
04950 7600   0.3049
05050 2600   0.0249
05050 2800   0.0285
05050 3000   0.0374
05050 3200   0.0507
05050 3400   0.0598
05050 3600   0.0674
05050 3800   0.0791
05050 4000   0.0800
05050 4200   0.0740
05050 4400   0.0726
05050 4600   0.0850
05050 4800   0.1021
05050 5000   0.1179
05050 5200   0.1338
05050 5400   0.1423
05050 5600   0.1517
05050 5800   0.1622
05050 6000   0.1733
05050 6200   0.1842
05050 6400   0.2004
05050 6600   0.2157
05050 6800   0.2303
05050 7000   0.2292
05050 7200   0.2594
05050 7400   0.2730
05050 7600   0.2986
05150 2600   0.0322
05150 2800   0.0329
05150 3000   0.0397
05150 3200   0.0543
05150 3400   0.0621
05150 3600   0.0660
05150 3800   0.0724
05150 4000   0.0735
05150 4200   0.0699
05150 4400   0.0687
05150 4600   0.0780
05150 4800   0.0911
05150 5000   0.1066
05150 5200   0.1290
05150 5400   0.1474
05150 5600   0.1603
05150 5800   0.1708
05150 6000   0.1770
05150 6200   0.1862
05150 6400   0.1963
05150 6600   0.2101
05150 6800   0.2261
05150 7000   0.2150
05150 7200   0.2367
05150 7400   0.2533
05150 7600   0.2708
05250 2600   0.0322
05250 2800   0.0391
05250 3000   0.0527
05250 3200   0.0737
05250 3400   0.0897
05250 3600   0.1078
05250 3800   0.1323
05250 4000   0.1412
05250 4200   0.1380
05250 4400   0.1312
05250 4600   0.1368
05250 4800   0.1409
05250 5000   0.1464
05250 5200   0.1537
05250 5400   0.1611
05250 5600   0.1696
05250 5800   0.1821
05250 6000   0.1906
05250 6200   0.2038
05250 6400   0.2152
05250 6600   0.2289
05250 6800   0.2444
05250 7000   0.2378
05250 7200   0.2640
05250 7400   0.2777
05250 7600   0.3016
05350 2600   0.0478
05350 2800   0.0633
05350 3000   0.0804
05350 3200   0.1042
05350 3400   0.1227
05350 3600   0.1395
05350 3800   0.1550
05350 4000   0.1557
05350 4200   0.1593
05350 4400   0.1652
05350 4600   0.2033
05350 4800   0.2112
05350 5000   0.2130
05350 5200   0.2052
05350 5400   0.2108
05350 5600   0.2181
05350 5800   0.2291
05350 6000   0.2431
05350 6200   0.2529
05350 6400   0.2716
05350 6600   0.2848
05350 6800   0.3005
05350 7000   0.2863
05350 7200   0.3160
05350 7400   0.3341
05350 7600   0.3633
05450 2600   0.0495
05450 2800   0.0544
05450 3000   0.0679
05450 3200   0.0874
05450 3400   0.0994
05450 3600   0.1127
05450 3800   0.1314
05450 4000   0.1367
05450 4200   0.1331
05450 4400   0.1418
05450 4600   0.1772
05450 4800   0.2115
05450 5000   0.2228
05450 5200   0.2337
05450 5400   0.2391
05450 5600   0.2516
05450 5800   0.2679
05450 6000   0.2824
05450 6200   0.2948
05450 6400   0.3038
05450 6600   0.3140
05450 6800   0.3302
05450 7000   0.3081
05450 7200   0.3369
05450 7400   0.3544
05450 7600   0.3881
05550 2600   0.0435
05550 2800   0.0506
05550 3000   0.0647
05550 3200   0.0841
05550 3400   0.0979
05550 3600   0.1121
05550 3800   0.1274
05550 4000   0.1312
05550 4200   0.1297
05550 4400   0.1448
05550 4600   0.1906
05550 4800   0.2215
05550 5000   0.2308
05550 5200   0.2424
05550 5400   0.2508
05550 5600   0.2597
05550 5800   0.2777
05550 6000   0.2945
05550 6200   0.3178
05550 6400   0.3388
05550 6600   0.3629
05550 6800   0.3887
05550 7000   0.3778
05550 7200   0.4261
05550 7400   0.4475
05550 7600   0.4933
05650 2600   0.0651
05650 2800   0.0682
05650 3000   0.0785
05650 3200   0.0983
05650 3400   0.1122
05650 3600   0.1341
05650 3800   0.1760
05650 4000   0.2022
05650 4200   0.2099
05650 4400   0.2153
05650 4600   0.2450
05650 4800   0.2650
05650 5000   0.2699
05650 5200   0.2788
05650 5400   0.2865
05650 5600   0.3007
05650 5800   0.3233
05650 6000   0.3425
05650 6200   0.3730
05650 6400   0.4049
05650 6600   0.4447
05650 6800   0.4870
05650 7000   0.5031
05650 7200   0.5750
05650 7400   0.6128
05650 7600   0.7011
05750 2600   0.0888
05750 2800   0.0961
05750 3000   0.1169
05750 3200   0.1454
05750 3400   0.1726
05750 3600   0.2048
05750 3800   0.2262
05750 4000   0.2248
05750 4200   0.2195
05750 4400   0.2224
05750 4600   0.2451
05750 4800   0.2614
05750 5000   0.2666
05750 5200   0.2889
05750 5400   0.3056
05750 5600   0.3356
05750 5800   0.3755
05750 6000   0.4153
05750 6200   0.4733
05750 6400   0.5364
05750 6600   0.6078
05750 6800   0.6921
05750 7000   0.7408
05750 7200   0.8845
05750 7400   0.9681
05750 7600   1.1352
05850 2600   0.0896
05850 2800   0.0897
05850 3000   0.1013
05850 3200   0.1295
05850 3400   0.1597
05850 3600   0.2000
05850 3800   0.2617
05850 4000   0.2825
05850 4200   0.2904
05850 4400   0.3089
05850 4600   0.3440
05850 4800   0.3605
05850 5000   0.3513
05850 5200   0.3685
05850 5400   0.3969
05850 5600   0.4274
05850 5800   0.4714
05850 6000   0.4948
05850 6200   0.5590
05850 6400   0.5965
05850 6600   0.6451
05850 6800   0.6985
05850 7000   0.6560
05850 7200   0.7229
05850 7400   0.7778
05850 7600   0.8376
05950 2600   0.0909
05950 2800   0.0847
05950 3000   0.0952
05950 3200   0.1223
05950 3400   0.1360
05950 3600   0.1667
05950 3800   0.2235
05950 4000   0.2490
05950 4200   0.2507
05950 4400   0.2460
05950 4600   0.2692
05950 4800   0.2786
05950 5000   0.2919
05950 5200   0.3134
05950 5400   0.3398
05950 5600   0.3869
05950 5800   0.4413
05950 6000   0.4990
05950 6200   0.5756
05950 6400   0.6417
05950 6600   0.7283
05950 6800   0.8314
05950 7000   0.8620
05950 7200   1.0430
05950 7400   1.1121
05950 7600   1.3084
06050 2600   0.0958
06050 2800   0.1082
06050 3000   0.1308
06050 3200   0.1709
06050 3400   0.2017
06050 3600   0.2394
06050 3800   0.2738
06050 4000   0.2737
06050 4200   0.2683
06050 4400   0.2723
06050 4600   0.3018
06050 4800   0.3320
06050 5000   0.3566
06050 5200   0.3770
06050 5400   0.4054
06050 5600   0.4396
06050 5800   0.4755
06050 6000   0.5170
06050 6200   0.5672
06050 6400   0.6216
06050 6600   0.6839
06050 6800   0.7603
06050 7000   0.7937
06050 7200   0.9276
06050 7400   0.9851
06050 7600   1.1666
06150 2600   0.0740
06150 2800   0.0809
06150 3000   0.0995
